#,x,y,E,Width,Length,Iterations
141.0,0.01,5.0,1641063.0,,,
141.0,0.6566629046422295,4.955672836913311,1549256.2198949934,,,
142.0,0.01,5.0,1641063.0,,,
143.0,0.01,5.0,1641063.0,,,
143.0,5.439527551933008,9.773632908845219,926531.3260267164,,,
144.0,0.01,5.0,1641063.0,,,
144.0,0.5662596887511002,4.847802605607921,1542596.5378069908,,,
144.0,0.9868180421396293,4.584861439483128,1112017.8037176915,,,
145.0,0.01,5.0,1641063.0,,,
145.0,1.7793073066099783,4.542602121286946,1544501.9022755122,,,
145.0,2.202054394626017,4.626780142494673,1454892.2786631086,,,
145.0,2.8876917983921597,4.2233336422378205,1083790.1719622146,,,
145.0,3.0765838964646566,4.367550248484763,685938.1425264798,,,
146.0,0.01,5.0,1641063.0,,,
146.0,0.49302764439812913,4.555993910623443,1497423.1775568752,,,
146.0,1.7412597259148057,1.1745425907080373,174638.31051513506,,,
147.0,0.01,5.0,1641063.0,,,
147.0,0.17643538319831337,5.0204965772130254,1548217.2219648797,,,
147.0,8.403204717597403,2.791901411948622,1455447.3003256232,,,
148.0,0.01,5.0,1641063.0,,,
148.0,1.1303760092353083,5.365017949764987,1489357.3542910242,,,
148.0,2.185057224821782,4.674590741373351,1045178.9769832133,,,
148.0,1.2592098406689862,2.168766164957857,828172.3897104161,,,
149.0,0.01,5.0,1641063.0,,,
149.0,2.113985678830855,4.684374397143445,1547498.7707510244,,,
149.0,5.871988701786226,6.561082692914932,1242656.697005853,,,
150.0,0.01,5.0,1641063.0,,,
150.0,5.5936197059179085,1.7039356692750784,1521978.6892658577,,,
150.0,7.435393678967767,1.4654097201314868,1503270.1048053221,,,
150.0,8.08986167171412,1.7266971217635991,1406499.23860614,,,
151.0,0.01,5.0,1641063.0,,,
151.0,1.4534461432110113,3.6820768422751122,895650.7027073967,,,
152.0,0.01,5.0,1641063.0,,,
153.0,0.01,5.0,1641063.0,,,
154.0,0.01,5.0,1641063.0,,,
154.0,0.5668776269295912,5.157538679555159,1525540.5775744375,,,
154.0,4.198533846555645,8.33417227034067,865182.060245076,,,
155.0,0.01,5.0,1641063.0,,,
155.0,0.7817102539313247,1.7038599826643286,1401467.4408783258,,,
155.0,0.38087976345862185,0.9717932824647876,1091307.5198898506,,,
156.0,0.01,5.0,1641063.0,,,
156.0,1.466935314812125,6.533059977698727,778446.2872577289,,,
156.0,1.846539125247433,6.0973607059809005,335468.4050106904,,,
157.0,0.01,5.0,1641063.0,,,
158.0,0.01,5.0,1641063.0,,,
158.0,6.576895418622081,4.7287514655180765,1645376.218328934,,,
159.0,0.01,5.0,1641063.0,,,
159.0,9.93474241120764,2.9854388605708944,1545703.8956874202,,,
160.0,0.01,5.0,1641063.0,,,
160.0,1.1286891525028995,2.5963730520568613,287619.29461659427,,,
161.0,0.01,5.0,1641063.0,,,
162.0,0.01,5.0,1641063.0,,,
163.0,0.01,5.0,1641063.0,,,
163.0,2.3053767416947486,5.710941099194908,1503304.2435879142,,,
163.0,2.617715166830294,6.175158448047013,466039.05978718726,,,
164.0,0.01,5.0,1641063.0,,,
165.0,0.01,5.0,1641063.0,,,
165.0,3.1005229780622785,8.634457311570912,1480278.2894918856,,,
165.0,5.4522420602190085,8.787468876583446,1397508.3979644065,,,
165.0,6.238652699329776,9.790708041826031,530465.0928052282,,,
166.0,0.01,5.0,1641063.0,,,
166.0,2.988105883937279,5.431403643659959,1614175.5008729645,,,
166.0,4.312304892689314,5.903735051065555,1437424.5487305762,,,
166.0,4.444320420147297,6.208017899841063,1255072.776725877,,,
167.0,0.01,5.0,1641063.0,,,
167.0,1.1506784079234804,4.566085647140132,1438950.787134818,,,
167.0,2.23864222051682,3.0756954919809405,498352.132522141,,,
167.0,2.3490262383162452,3.222799450211478,178928.71512698627,,,
168.0,0.01,5.0,1641063.0,,,
169.0,0.01,5.0,1641063.0,,,
169.0,2.1565461416053955,3.765725026265502,1236901.458671817,,,
170.0,0.01,5.0,1641063.0,,,
170.0,3.4209182659253656,7.283378616048425,1135959.9819408646,,,
170.0,4.264760639106439,6.651878450029823,1045260.5828392744,,,
170.0,5.403455141477588,7.626979053446857,603761.0392824973,,,
170.0,5.988472829383351,6.892498090199506,233783.06361737466,,,
170.0,5.955028249871541,8.290311441009457,193201.30947970692,,,
171.0,0.01,5.0,1641063.0,,,
171.0,2.2751294140071856,3.4550277419160023,1122637.8615718018,,,
171.0,7.680604509121904,8.658726030381231,582868.6581207126,,,
172.0,0.01,5.0,1641063.0,,,
172.0,1.0131714535413314,3.333465582508594,433172.2941940683,,,
173.0,0.01,5.0,1641063.0,,,
173.0,0.2916630214745267,3.267684877985192,1389194.1688764882,,,
173.0,0.12956991459777886,3.058452547212235,1063282.2799015504,,,
173.0,1.436250519929395,1.114995851498466,947947.0421091072,,,
174.0,0.01,5.0,1641063.0,,,
174.0,0.787607589736055,4.22624204189861,1492097.4336763718,,,
175.0,0.01,5.0,1641063.0,,,
175.0,9.3487682687424,7.142629699271755,1565420.1106448376,,,
176.0,0.01,5.0,1641063.0,,,
176.0,0.8220534583805709,5.984862601687146,1478037.6912699828,,,
176.0,7.947922899858566,7.5667696351640075,1391467.1371714198,,,
177.0,0.01,5.0,1641063.0,,,
177.0,4.357797998192803,6.5569017513966,1460067.719794349,,,
178.0,0.01,5.0,1641063.0,,,
179.0,0.01,5.0,1641063.0,,,
179.0,0.3595665659256637,1.4241693187405322,1377797.0164427753,,,
180.0,0.01,5.0,1641063.0,,,
180.0,3.545413349914557,6.682442093368646,1342554.6965570743,,,
180.0,4.596466934047911,6.170144105313432,1251265.3295648505,,,
181.0,0.01,5.0,1641063.0,,,
182.0,0.01,5.0,1641063.0,,,
182.0,6.098400115992452,4.652435977889189,1642818.8061212671,,,
183.0,0.01,5.0,1641063.0,,,
184.0,0.01,5.0,1641063.0,,,
184.0,2.20222689196684,5.625029809268529,1523756.9713421527,,,
184.0,7.907668349000327,3.99567726283801,1414486.0208728253,,,
184.0,9.182788098552159,1.0466744019536964,218608.04168060602,,,
185.0,0.01,5.0,1641063.0,,,
185.0,8.034763873458989,1.0484513227191266,1325161.4452456743,,,
186.0,0.01,5.0,1641063.0,,,
187.0,0.01,5.0,1641063.0,,,
187.0,2.6310030420323174,5.203768472174441,1549121.7240675676,,,
187.0,3.4823032376347687,5.714531910690602,1142264.929905603,,,
187.0,4.788016969207697,4.43050148016755,580799.9068899269,,,
188.0,0.01,5.0,1641063.0,,,
189.0,0.01,5.0,1641063.0,,,
190.0,0.01,5.0,1641063.0,,,
190.0,1.3366880025496068,7.1376617843698,1457227.0305033547,,,
190.0,1.9562077592467586,7.566129586818717,987980.0078828101,,,
191.0,0.01,5.0,1641063.0,,,
191.0,1.018584374875754,6.256240826889593,641696.4797528088,,,
192.0,0.01,5.0,1641063.0,,,
192.0,1.9285302486641942,5.8607572537249055,1370836.502259371,,,
192.0,3.232047308256411,5.486054253564971,1271261.811192285,,,
192.0,3.28160425929698,5.3177598137915805,1093399.2777632752,,,
193.0,0.01,5.0,1641063.0,,,
193.0,5.56588649430546,4.963079972011639,1648122.420473054,,,
194.0,0.01,5.0,1641063.0,,,
194.0,2.052843374793233,3.4910946526058777,1510769.6317716637,,,
194.0,4.163369685921912,3.5686025207046503,1515283.4445370757,,,
